,企業名,キャッチコピー,ステータス,給与
97,株式会社T-TOP | コロナ禍でも安定ニーズ◎【大阪府緊急雇用対策に賛同】,★完全週休2日＆月給25万円～★【営業スタッフ】転勤なし！ 正社員,正社員,◆完全週休2日制／月給25万円〜 ◆隔週休2日制／月給28万円〜 ＜モデル月収例＞ 月収40万円／入社半年…
98,株式会社ライジングサンセキュリティーサービス | 【★面接保証！20～60代活躍中★未経験スタート大歓迎★】,＼ひたちなか・水戸募集／【警備・受付】★月給最大38万円も可能 正社員,正社員,月給24万円〜38万円 ※時間外手当は別途支給 ※上記はあくまでも最低補償額。勤務地によって異なります。…
99,株式会社PGSホーム | 残業ほぼ無し！休日出勤は一切無し！ワーク・ライフ・バランス◎,【営業総合職】※月給40万円スタート！入社祝金最大138万円支給 正社員,正社員,月給25万円〜50万円＋高額歩合給(本数達成賞＋オーダー手当) ★月給40万円スタート(※)！さらに今だけ！…
100,株式会社山崎機械店 | 【創業76年の専門商社】賞与年3～4ヶ月／年収1000万円を目指せる,群馬で活躍！【営業】★残業月平均20h以内※未経験歓迎 正社員,正社員,月給21万円以上 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3ヶ月(待遇に変更はありません)
101,益三建設株式会社 | ＜設立50年！地域に愛された会社＞＊UIターン歓迎＊住宅手当あり,企画型注文住宅の【ホームアドバイザー】★業界・職種未経験歓迎 正社員,正社員,"月給 212,500円 〜 417,000円＋賞与年2回（昨年度実績3カ月分） ※スキル・経験を考慮の上、当社規定に…"
102,株式会社メディオテクノ | #月8～10日休(完全週休2日)#若手活躍中#退職者は3年間ゼロ,今を変える異業種転職◎収入と休日が自慢できる【施工スタッフ】 正社員,正社員,"■月給26万円〜31万円(一律各種手当含む)＋稼動インセンティブ ※試用期間中(3ヶ月) 月給25万9,500円(イ…"
103,株式会社PGSホーム | 今なら入社祝金最大138万円支給！インセンティブ・報奨金も充実,【アポインター営業】リサーチャー(市場調査)※月給40万スタート 正社員,正社員,月給25万円〜50万円＋報奨金(本数達成賞＋オーダー手当) ★今だけ！入社祝金18万円＋半年間の業績に応じ…
104,センコー株式会社 | ★入社1年で年収1300万円実績あり／FC加盟70店舗→今年100店舗へ,退去立会いFC本部の【SV/加盟店営業】★年休124日／残業なし 正社員,正社員,月給30万円〜50万円＋手当＋インセンティブ＋賞与 ★インセンティブは青天井 一人ひとりの成長度合いに…
105,株式会社イー・トラスト | 【CMでもお馴染み！関西トップクラスの総合不動産グループ！】,【営業】■月給30万円■未経験OK■残業ナシ■賞与3回■16連休有 正社員,正社員,月給30万円以上 ※経験能力を考慮し優遇します。 ※試用期間1〜3ヶ月間は日給1万円です。 ※成績は賞与…
106,エフエルシープレミアム株式会社 | 【大阪府緊急雇用対策に賛同】東証二部上場企業のグループ！,【総合職(営業・内勤営業・販売・企画)】★未経験者歓迎！ 正社員,正社員,"月給23万5000円以上 + 毎月インセンティブ ＋ 各種手当 ※固定残業代（5万8,280円以上/45時間相当）含む…"
107,株式会社リロパートナーズ | 【リログループ】※(株)トキオランディックスへの出向です。,★☆若手（40歳以下）大募集☆★ ゼロからSTART！【提案営業】 正社員,正社員,"月給251,000円以上＋賞与年2回＋報奨金 ※経験・年齢を考慮の上、 　当社規定に基づき決定します。 ※給…"
108,株式会社アサンテ | <東証一部上場>★創業50年&国内売上No.1の安定基盤★未経験OK,年齢&志望動機不問！【営業】★手取月50万～も可能★賞与4ヵ月分 正社員,正社員,"■月給21万円〜25万円＋業績給＋賞与年2回（基本給4ヵ月分） ※固定残業代（30時間分・3万9,400円〜）含…"
109,株式会社アキュラホーム,過去最高益へ！【注文住宅営業】※業界未経験OK 正社員,正社員,【固定月給】23万〜40.8万円 ※月30時間分の見込み残業手当（5万円〜7万5000円）含む 　超過分は別途支…
110,KUROFUNE＆PARTNERS株式会社 | ★オープニングスタッフ募集★1年目全員が年収500万円以上の実績,#未経験歓迎 #月給30万円スタート #車通勤OK #転勤なし【営業】 正社員,正社員,月給30万円〜60万円＋歩合 ※経験・能力等を考慮の上、当社規定により優遇します。 ※試用期間1〜6ヶ月あ…
111,株式会社アキュラホーム | 「グッドデザイン賞」9年連続受賞,リフォーム事業の【新規立上げ責任者候補】年収1000万円以上も可 正社員,正社員,"【月給】470,000〜630,000円 ※試用期間：3ヶ月（処遇に変動はありません） ※給与は、経験・能力を総合…"
112,株式会社そら | 【コロナで注目度UP！「Dr.ストレッチ」を全国展開】完全週休2日,【ストレッチトレーナー】＊働きやすさも待遇も抜群！未経験OK♪ 正社員,正社員,"月給 226,000円〜290,000円 +各種手当 ※昇給年4回！アナタの頑張りを随時評価します♪ ※月給には固定…"
113,株式会社グラスト | ★20代中心に活躍中 ★連休や土日休みも相談OK ★転勤なし,【携帯受付スタッフ】★完全週休2日制 ★残業ほぼなし 正社員,正社員,月給25万円以上＋諸手当 ※経験・スキル・年齢を考慮の上、決定します。 ※試用期間3か月（期間中の待遇…
114,有限会社グリーンアンドハウス | ★【無垢スタイル建築設計】のグループ会社として安定経営,本格的な輸入住宅などの多彩な案件に挑む【設計職】※経験者優遇 正社員,正社員,月給25万円〜65万円＋評価給 ※前給・経験・実績・能力等を考慮の上、優遇いたします 。 ※研修期間3ヶ月…
115,株式会社ミュゼプラチナム | ★週休3日もOK★コスメ社割／全身美容脱毛0円★WEB面接1回,【受付カウンセラー】未経験歓迎★34歳までの方限定★賞与年4回 正社員,正社員,【1】月給24万円以上 東京/神奈川/埼玉/千葉/茨城/静岡/山梨/ 岐阜/愛知/三重/滋賀/大阪/京都/奈良/兵庫…
116,"株式会社誠進堂 | 売上は昨対比170％アップ！／支店長の平均年収は1,500万円以上！",本気になれる会社だから、人生が変わる！【営業】※支店長候補 正社員,正社員,月給23万円〜 ＋ 諸手当 ＋ インセンティブ ※経験・年齢を考慮の上、優遇します ※試用期間中（3ヶ月）…
117,大阪第一交通株式会社 | 【 業界大手！第一交通産業グループ 】大阪府緊急雇用対策に賛同,安定収入&自由な働き方【タクシードライバー】年収500万円以上可 正社員,正社員,"■月給21万円 + 歩合給 + 諸手当 + 賞与（年3回） 【試用期間3ヶ月】 乗務前・二種取得期間：日給7,000円…"
118,株式会社フレックス | 黒字経営を継続中/大阪府緊急雇用対策に賛同/月収40万円も可能！,★土日祝休み＆残業少なめ★【反響営業】※八尾限定募集 正社員,正社員,◆月給20万円〜30万円 ＋ 諸手当 ＋ 賞与（年2回）＋報奨金 ★月収40万円も可能！ ※月給は最低支給額…
119,東京エムケイ株式会社 | 《未経験でも研修3ヶ月計100万円の保証給》★有給取得率80％超,最高級サービスを届ける【コンシェルジュドライバー】※学歴不問 正社員,正社員,▼3ヶ月の保証給<合計100万円！>＋各種お祝い金有 1ヶ月目:月給30万円 2・3ヶ月目:月給35万円 4ヵ月目以…
120,ロイヤルハウジング株式会社 | 【創業47年／ロイヤルグループ】昨対比売上150％以上！,高収入を目指せる【売買仲介営業】★業績賞与年3回★100％反響 正社員,正社員,"【経験者】月給28万円〜60万円＋業績賞与（年3回）+報奨金（5万円〜）+諸手当 【未経験者】月給23万5,000…"
121,株式会社エージェントゲート | ★有給取得率100％★産休育休取得＆復帰率100％★定着率90％超★,【ITサポートスタッフ】年休130日以上＆残業なし☆全員面談☆ 正社員,正社員,月給22〜30万円 ※上記には一律のみなし残業手当が含まれています。 ※30時間分／4万円以上 ⇒みなし残…
122,株式会社HIPOWER　 | 完全週休2日制(土日祝) / 年休120日以上 / 残業月10～20h程度,自然エネルギー事業に携わる【企画営業】成約率90％★賞与年3回 正社員,正社員,◆東京：月給24万円〜 ＋ 賞与年3回 ＋ 諸手当 ◆その他：月給22万円〜 ＋ 賞与年3回 ＋ 諸手当 ※あな…
